hkapanis;hdusuk;hyuksek;hacilis;hfark;wadline;mav10ussel;macd;macdas;rsi;momentum;wilimsry;cci;stokfstk;stokfstd;stokslwk;stokslwd;chaikinsal;volatility;mav5ussel;islemhacmi;pddd;fiyatkazanc;bistyuzkapanis;bistyuzdegisim;dolarkapanis;brentkapanis;tufekapanis;tahvilkapanis;mevduatfaiz;sanuretimi;ekonomiguven;altinons;tuketiciguven;rekurendeksi;ufekapanis;hisseadi
1.41;1.36;1.61;1.39;1.438848921;-0.7825;1.51;0.0469;0.0819;47.9896;99.42;-79.9731;-57.03;17.6908;27.4082;34.7249;42.0415;-407;18;1.49;21942080;0;0;39969.63;-8.04840421;1.2189;127.78;155.07;19.96;16.49;106.3;91.21434777;886.66;62.1;117.75;163.93;AFYON
1.42;1.37;1.65;1.56;0.709219858;-0.1226;1.5;0.0352;0.0725;48.2648;95.55;-75.6883;-30.93;11.0993;19.2538;26.8497;34.4456;-1248;15;1.47;10680750;0;0;35089.53;-12.20952008;1.2235;139.83;154.51;22.43;17.68;104.5;90.46720694;925.62;61.8;118.38;164.46;AFYON
1.44;1.33;1.47;1.42;1.408450704;-0.1352;1.49;0.0275;0.0635;49.1344;98.98;-72.2876;-87.42;24.5393;21.8965;26.0795;30.2626;-1545;16;1.46;10849730;0;0;42200.75;20.26593118;1.1605;123.98;155.4;18.92;19.81;104.3;89.57955194;913.79;63.8;118.73;166.51;AFYON
1.36;1.35;1.53;1.44;-5.555555556;-0.3048;1.46;0.0146;0.0537;46.0763;97.77;-84.7569;-76.57;7.9453;14.9209;20.0348;25.1487;-1578;16;1.42;9307296;0;0;39844.48;-5.583478967;1.1807;114.05;155.02;18.8;17.51;95.5;92.25956337;831.11;66.6;126.37;162.62;AFYON
1.05;0.89;1.35;1.35;-22.79411765;-0.6505;1.39;-0.0203;0.0389;36.6871;63.82;-84.7572;-272.29;20.3884;17.6546;20.1526;22.6507;-1461;44;1.3;4312881;0;0;36051.3;-9.519963619;1.2688;99.6;155.72;19.42;17.46;98.3;87.56019467;872.97;67.5;124.91;161.16;AFYON
0.92;0.86;1.06;0.96;-12.38095238;-0.6749;1.3;-0.0575;0.0196;33.6943;59.59;-93.6962;-258.23;8.3333;12.994;16.2129;19.4318;-1407;23;1.17;4914943;0;0;27832.93;-22.7963208;1.5355;65.6;159.77;23.14;17.64;95.2;73.60815027;724.85;61;112.78;162.08;AFYON
0.75;0.61;0.93;0.92;-18.47826087;-0.9602;1.2;-0.0994;-0.0042;30.1148;44.85;-89.1904;-215.33;15.3226;14.1583;15.9161;17.6739;-1318;-3;1.03;4013549;0;0;25714.98;-7.609511467;1.569;53.49;161.1;20.41;21.55;94.8;60.80627145;818.22;55.7;110.21;162.03;AFYON
0.92;0.69;1.01;0.76;22.66666667;-0.6883;1.15;-0.1177;-0.0269;37.2893;55.45;-76.1051;-129.27;33.871;24.0146;21.9011;19.7875;-827;-11;1;11718700;0;0;26864.07;4.468562682;1.5334;45.59;160.44;16.43;19.88;81.1;63.14624742;881.69;56.7;111.15;156.29;AFYON
0.84;0.82;0.95;0.93;-8.695652174;-0.6978;1.09;-0.1371;-0.0489;35.4166;60.26;-82.3633;-102.93;31;27.5073;24.934;22.3608;-341;-18;0.94;8905692;0;0;25934.37;-3.460756319;1.645;45.76;160.9;15.15;16.02;75.9;65.18556438;926.98;58.3;109.07;156.65;AFYON
0.98;0.83;1.05;0.83;16.66666667;-0.8321;1.07;-0.1395;-0.067;40.9343;69.63;-71.5537;-69.1;81.9672;54.7373;43.9451;33.1529;215;-21;0.96;19355890;0;0;24026.59;-7.356184091;1.702;45.89;160.35;15.39;12.18;72.9;68.67911671;942.88;60.8;107.39;158.48;AFYON
